Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
MUNNO PARA,4596,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
NORTH ADELAIDE,4594,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
BLAIR ATHOL,4548,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
PORT ADELAIDE,4455,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
WEST LAKES,4432,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SEATON,4371,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
CHRISTIE DOWNS,4352,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES
GLENELG,4172,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
CHRISTIES BEACH,4167,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ELIZABETH SOUTH,4080,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
FINDON,4075,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
INGLE FARM,4051,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
MOUNT BARKER,3949,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
POORAKA,3946,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
